Year,National League,NL Wins,American League,AL Wins
1991,"Atlanta Braves
[2 - 3 in Series Play]",3,"Minnesota Twins
[3 - 3 in Series Play]",4
1992,"Atlanta Braves
[2 - 4 in Series Play]",2,"Toronto Blue Jays
[1 - 0 in Series Play]",4
1993,"Philadelphia Phillies
[1 - 4 in Series Play]",2,"Toronto Blue Jays
[2 - 0 in Series Play]",4
1994,"No Series (Strike Year)
  [x - x in Series Play]",--,"No Series (Strike Year)
  [x - x in Series Play]",--
1995,"Atlanta Braves
[3 - 4 in Series Play]",4,"Cleveland Indians
[2 - 2 in Series Play]",2
1996,"Atlanta Braves
[3 - 5 in Series Play]",2,"New York Yankees
[23 - 11 in Series Play]",4
1997,"Florida Marlins
[1 - 0 in Series Play]",4,"Cleveland Indians
[2 - 3 in Series Play]",3
1998,"San Diego Padres
[0 - 2 in Series Play]",0,"New York Yankees
[24 - 11 in Series Play]",4
1999,"Atlanta Braves
[3 - 6 in Series Play]",0,"New York Yankees
[25 - 11 in Series Play]",4
2000,"New York Mets
[2 - 2 in Series Play]",1,"New York Yankees
[26 - 11 in Series Play]",4
2001,"Arizona Diamondbacks
[1 - 0 in Series Play]",4,"New York Yankees
[26 - 12 in Series Play]",3
2002,"San Francisco Giants
[5 - 12 in Series Play]",3,"Anaheim Angels
[1 - 0 in Series Play]",4
2003,"Florida Marlins
[2 - 0 in Series Play]",4,"New York Yankees
[26 - 13 in Series Play]",2
2004,"St. Louis Cardinals
[9 - 7 in Series Play]",0,"Boston Red Sox
[6 - 4 in Series Play]",4
2005,"Houston Astros
[0 - 1 in Series Play]",0,"Chicago White Sox
[3 - 2 in Series Play]",4
2006,"St. Louis Cardinals
[10 - 7 in Series Play]",4,"Detroit Tigers
[4 - 6 in Series Play]",1
2007,"Colorado Rockies
[0 - 1 in Series Play]",0,"Boston Red Sox
[7 - 4 in Series Play]",4
2008,"Philadelphia Phillies
[2 - 4 in Series Play]",4,"Tampa Bay Rays
[0 - 1 in Series Play]",1
2009,"Philadelphia Phillies
[2 - 5 in Series Play]",2,"New York Yankees
[27 - 13 in Series Play]",4
2010,"San Francisco Giants
[6 - 12 in Series Play]",4,"Texas Rangers
[0 - 1 in Series Play]",1
2011,"St. Louis Cardinals
[11 - 7 in Series Play]",4,"Texas Rangers
[0 - 2 in Series Play]",3
2012,"San Francisco Giants
[7 - 12 in Series Play]",4,"Detroit Tigers
[4 - 7 in Series Play]",0
2013,"St. Louis Cardinals
[11 - 8 in Series Play]",2,"Boston Red Sox
[8 - 4 in Series Play]",4
2014,"San Francisco Giants
[8 - 12 in Series Play]",4,"Kansas City Royals
[1 - 2 in Series Play]",3
2015,"New York Mets
[2 - 3 in Series Play]",1,"Kansas City Royals
[2 - 2 in Series Play]",4
2016,"Chicago Cubs
[3 - 8 in Series Play]",4,"Cleveland Indians
[2 - 4 in Series Play]",3
2017,"Los Angeles Dodgers
[6 - 13 in Series Play]",3,"Houston Astros
[1 - 1 in Series Play]",4
2018,"Los Angeles Dodgers
[6 - 14 in Series Play]",1,"Boston Red Sox
[9 - 4 in Series Play]",4
2019,"Washington Nationals
[1 - 0 in Series Play]",4,"Houston Astros
[1 - 2 in Series Play]",3
2020,"Los Angeles Dodgers
[7 - 14 in Series Play]",4,"Tampa Bay Rays
[0 - 2 in Series Play]",2
2021,"Atlanta Braves
[4 - 6 in Series Play]",4,"Houston Astros
[1 - 3 in Series Play]",2
2022,"Philadelphia Phillies
[2 - 6 in Series Play]",2,"Houston Astros
[2 - 3 in Series Play]",4
2023,"Arizona Diamondbacks
[1 - 1 in Series Play]",1,"Texas Rangers
[1- 2 in Series Play]",4
2024,"Los Angeles Dodgers
[8 - 14 in Series Play]",4,"New York Yankees
[27 - 14 in Series Play]",1
2025,"To Be Determined
[x - x in Series Play]",x,"To Be Determined
[x - x in Series Play]",x
World,National League,Wins,American League,Wins
